WATTRANGE,hameau,Tarchamps,199B
Moulin de Aresdorff,moulin,Bilsdorf,200B
Moulin de Pourdorf,moulin,Bilsdorf,200B
Bs D'HOLTZ,bois,Wolwelange,200B
Clomus,etang,Perl,201B
Bs DE PERL,bois,Perl,201B
Belscht,bois,Roodt,201B
NIDERSTEN BUSCH,bois,Roodt,201B
TZER BUSCH,bois,Petit Norbressart,201B
HOUSCHTE,bois,Petit Norbressart,201B
LA SAUVAGE,hameau,Rodange,204B
TITE BERG,montagne,Rodange,204B
BOIS HACHIVILLE,bois,Hachiville,218A
BOIS D'HOFFELT,bois,Hoffelt,218A
SCHUCKLEY,montagne,Oberbeslingen,218B
Eichelsberg,Feld,Biwange,218B
BOIS DE BIWANGE,Bois,Biwange,218B
WEILER,hameau,Hoffelt,218B
STEINKOHL,montagne,Biwange,218B
RODISCH,montagne,Biwange,218B
Anbach,heide,Holdingen,218B
HOUSCHTE,bois,Niederbeslingen,218B
Aitelknop,montagne,Niederbeslingen,218B
Elberknop,montagne,Wulferdange,218B
GOEDINGEN,hameau,Wulferdange,218B
HOLDINGEN,hameau,Niederbeslingen,218B
AUF DEM KNOP,montagne,Wulferdange,218B
TELM,montagne,Wulferdange,218B
UHRENBERG,feld,Wulferdange,218B
WOLFS BUSCH,forêt,Wulferdange,218B
SITTISCH BERG,rochette,Troisvierges,218B
HOFFELTBERG,feld,Troisvierges,218B
AUF DEM BLEIEL,feld,Troisvierges,218B
HARTWALD,forêt,Binsfeld,218B
BIRCKEN,montagne,Binsfeld,218B
PIEREN BERGH,montagne,Crendal,219A
Neu Muhlen,mill,Crendal,219A
BEY DIE STRINGT,montagne,Crendal,219A
TOMELLE,montagne,Crendal,219A
Muhlen Veyer,etang,Hamiville,219A
Hardt,heide,Allerborn,219A
HAUDENKNOPF,montagne,Allerborn,219A
Artte Baum,tree,Derenbach,219A
Bs DE FALL,bois,Brachtenbach,219A
Koessel,rocher,Niederwampach,219A
STEINKOHL,montagne,Asselborn,219B
Loures Muhl,mill,Asselborn,219B
RODISCH,montagne,Asselborn,219B
DEIFFELZ,hameau,Doningen,219B
SUGER BERG,montagne,Lullange,219B
SCHINDBERG,montagne,Lullange,219B
B DE BOHARD,bois,Bogen,219B
WALSCHET BERG,montagne,Bogen,219B
VATIGE,montagne,Boxhorn,219B
BESCHETTE,bois,Boxhorn,219B
BIRCKEN,montagne,Boxhorn,219B
HEIDT,montagne,Reuler,219B
BIERHARD,bois,Clervaux,219B
MECHER,hameau,Weicherdinen,219B
OBHART,montagne,Munshausen,219B
Katz Teller Haff,hameau,Drauffelt,219B
KEMMEL BERG,montagne,Drauffelt,219B
POLLER KNAP,montagne,Drauffelt,219B
OB SCHANS,montagne,Drauffelt,219B
W de Schleif,bois,Grumelscheid,220A
GERSTHECH,bois,Grumelscheid,220A
DRACKE,hameau,Grumelscheid,220A
Bs dE FALL,bois,Brachtenbach,220A
Cse de Schart,hameau,Eschweiler,220A
HILSCHEIT,montagne,Wieseler,220A
Scheid,montagne,Wieseler,220A
PAPIERKNOPF,montagne,Niderwiltz,220A
Moulin de Wieseler,moulin,Niderwiltz,220A
Fouderie,,Niderwiltz,220A
Papetrie,,Niderwiltz,220A
GEHEILOCH,montagne,Nothum,220A
DINKEROTH,village,Mecher,220A
Moulin d'Eschweiler,moulin,Eschweiler,220B
RAMMERICH,bois,Erpeldange,220B
STAYKEMPGEN,montagne,Weidingen,220B
STAYKEMPGEN,bois,Weidingen,220B
Racher Katzenlaey,fels,Wiltz,220B
Bs DE SCHUTTBURG,bois,Merkholtz,220B
GRAWELER,bois,Nocher,220B
GROSSEN BUSCH,bois,Nocher,220B
WELSCHEIT,montagne,Nocher,220B
AUF HERMISCHBACH,montagne,Nocher,220B
HOCHACK,montagne,Nocher,220B
Mgne de PRÜM,montagne,Dahl,220B
NIDERHIEGT,bois,Bocholtz,220B
Moulin de Bocholtz,moulin,Bocholtz,220B
Ringeller hoff,clos,Bocholtz,220B
MASSELERBERG,Heide,Bocholtz,220B
Masseler hoff,clos,Bocholtz,220B
DEN HAHL,bois,Bocholtz,220B
EISCHET,montagne,Kautenbach,220B
Bs DE HEIT,bois,Kautenbach,220B
GESSEEKT,montagne,Kautenbach,220B
OBER SCHNITGEN,montagne,Kautenbach,220B
Schutburg,chateau,Alscheidt,220B
Kamerhoff,hameau,Alscheidt,220B
Bourfeld,hameau,Liefrange,221A
Moulin de Lifting,moulin,Liefrange,221A
Oberst Meuland,fouderie,Esch sur Sure,221A
INNENWEG,montagne,Esch sur Sure,221A
DALHECK,montagne,Esch sur Sure,221A
SURLAHAG,montagne,Eschdorf,221A
Moulin d'Eschdorf,moulin,Eschdorf,221A
BRUTTERT,hameau,Rindschleiden,221A
Bs DE RAMBROUCH,bois,Schwiedelbrouch,221A
Moulin Esch,moulin,Esch sur Sure,221B
RINCK,montagne,Esch sur Sure,221B
BRACKENBUSCH,bois,Esch sur Sure,221B
HEIDERSCHEIDGRUND,bois,Esch sur Sure,221B
BAUMBUSCH,bois,Esch sur Sure,221B
PUTZBUSCH,bois,Eschdorf,221B
ALTEKIRCK,montagne,Heiderscheid,221B
ALTENBUSCH,bois,Heiderscheid,221B
Moulin de Tatteler,moulin,Tadler,221B
RINGEL,hameau,Tadler,221B
KATZEN BERG,montagne,Tadler,221B
